14:13:55.978 [MainThread] INFO    thonny: Thonny version: 4.1.1
14:13:55.979 [MainThread] INFO    thonny: cwd: C:\Users\lukas.jalcak\Documents\Tutorials\100 Days of Code The Complete Python Pro Bootcamp for 2023\Downloads\thonny-4.1.1-windows-portable\user_data\leave_this_empty
14:13:55.979 [MainThread] INFO    thonny: original argv: ['C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\python.exe', '-u', '-B', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib\\site-packages\\thonny\\plugins\\cpython_backend\\cp_launcher.py', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Day5', "{'run.warn_module_shadowing': True}"]
14:13:55.979 [MainThread] INFO    thonny: sys.executable: C:\Users\lukas.jalcak\Documents\Tutorials\100 Days of Code The Complete Python Pro Bootcamp for 2023\Downloads\thonny-4.1.1-windows-portable\python.exe
14:13:55.979 [MainThread] INFO    thonny: sys.argv: ['C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib\\site-packages\\thonny\\plugins\\cpython_backend\\cp_launcher.py', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Day5', "{'run.warn_module_shadowing': True}"]
14:13:55.979 [MainThread] INFO    thonny: sys.path: ['C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib\\site-packages\\thonny\\plugins\\cpython_backend', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\python310.zip', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\DLLs', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib\\site-packages']
14:13:55.979 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, int_max_str_digits=-1)
14:13:55.979 [MainThread] INFO    thonny: TIME/MODS 0.013 Before constructing backend (+21 modules)
14:13:55.979 [MainThread] INFO    thonny: NEW MODS ['_heapq', '_queue', 'encodings.ascii', 'errno', 'faulthandler', 'fnmatch', 'heapq', 'importlib._abc', 'importlib.util', 'msvcrt', 'pathlib', 'posixpath', 'queue', 'signal', 'subprocess', 'thonny.backend', 'thonny.plugins', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'urllib', 'urllib.parse']
14:13:55.979 [MainThread] INFO    thonny: TIME/MODS 0.000 Before MainBackend 
14:13:55.979 [MainThread] INFO    thonny: TIME/MODS 0.000 After MainBackend 
14:13:55.984 [MainThread] INFO    thonny.backend: Loading plugins
14:13:55.984 [MainThread] INFO    thonny: TIME/MODS 0.005 Before loading plugins (+4 modules)
14:13:55.985 [MainThread] INFO    thonny: NEW MODS ['pkgutil', 'platform', 'pydoc', 'sysconfig']
